id,name
0,Agility
1,Accelerated Healing
2,Lantern Power Ring
3,Dimensional Awareness
4,Cold Resistance
5,Durability
6,Stealth
7,Energy Absorption
8,Flight
9,Danger Sense
10,Underwater breathing
11,Marksmanship
12,Weapons Master
13,Power Augmentation
14,Animal Attributes
15,Longevity
16,Intelligence
17,Super Strength
18,Cryokinesis
19,Telepathy
20,Energy Armor
21,Energy Blasts
22,Duplication
23,Size Changing
24,Density Control
25,Stamina
26,Astral Travel
27,Audio Control
28,Dexterity
29,Omnitrix
30,Super Speed
31,Possession
32,Animal Oriented Powers
33,Weapon-based Powers
34,Electrokinesis
35,Darkforce Manipulation
36,Death Touch
37,Teleportation
38,Enhanced Senses
39,Telekinesis
40,Energy Beams
41,Magic
42,Hyperkinesis
43,Jump
44,Clairvoyance
45,Dimensional Travel
46,Power Sense
47,Shapeshifting
48,Peak Human Condition
49,Immortality
50,Camouflage
51,Element Control
52,Phasing
53,Astral Projection
54,Electrical Transport
55,Fire Control
56,Projection
57,Summoning
58,Enhanced Memory
59,Reflexes
60,Invulnerability
61,Energy Constructs
62,Force Fields
63,Self-Sustenance
64,Anti-Gravity
65,Empathy
66,Power Nullifier
67,Radiation Control
68,Psionic Powers
69,Elasticity
70,Substance Secretion
71,Elemental Transmogrification
72,Technopath/Cyberpath
73,Photographic Reflexes
74,Seismic Power
75,Animation
76,Precognition
77,Mind Control
78,Fire Resistance
79,Power Absorption
80,Enhanced Hearing
81,Nova Force
82,Insanity
83,Hypnokinesis
84,Animal Control
85,Natural Armor
86,Intangibility
87,Enhanced Sight
88,Molecular Manipulation
89,Heat Generation
90,Adaptation
91,Gliding
92,Power Suit
93,Mind Blast
94,Probability Manipulation
95,Gravity Control
96,Regeneration
97,Light Control
98,Echolocation
99,Levitation
100,Toxin and Disease Control
101,Banish
102,Energy Manipulation
103,Heat Resistance
104,Natural Weapons
105,Time Travel
106,Enhanced Smell
107,Illusions
108,Thirstokinesis
109,Hair Manipulation
110,Illumination
111,Omnipotent
112,Cloaking
113,Changing Armor
114,Power Cosmic
115,Biokinesis
116,Water Control
117,Radiation Immunity
118,Vision - Telescopic
119,Toxin and Disease Resistance
120,Spatial Awareness
121,Energy Resistance
122,Telepathy Resistance
123,Molecular Combustion
124,Omnilingualism
125,Portal Creation
126,Magnetism
127,Mind Control Resistance
128,Plant Control
129,Sonar
130,Sonic Scream
131,Time Manipulation
132,Enhanced Touch
133,Magic Resistance
134,Invisibility
135,Sub-Mariner
136,Radiation Absorption
137,Intuitive aptitude
138,Vision - Microscopic
139,Melting
140,Wind Control
141,Super Breath
142,Wallcrawling
143,Vision - Night
144,Vision - Infrared
145,Grim Reaping
146,Matter Absorption
147,The Force
148,Resurrection
149,Terrakinesis
150,Vision - Heat
151,Vitakinesis
152,Radar Sense
153,Qwardian Power Ring
154,Weather Control
155,Vision - X-Ray
156,Vision - Thermal
157,Web Creation
158,Reality Warping
159,Odin Force
160,Symbiote Costume
161,Speed Force
162,Phoenix Force
163,Molecular Dissipation
164,Vision - Cryo
165,Omnipresent
166,Omniscient
