vin,make,model,year,exterior,interior,miles
SCFFDCCD1AG956516,Kia,Sedona,2009,Crimson,Yellow,131702
4T1BK3DB6CU398680,Mazda,MX-5,2003,Khaki,Maroon,159500
1FMEU8DE3AU185310,Volkswagen,Jetta III,1994,Crimson,Khaki,12141
JN1CV6AP5DM893782,Ford,E-Series,1991,Khaki,Pink,259369
1FBNE3BL7ED926610,Volvo,240,1992,Orange,Orange,50510
WBAGN83555D102302,Ford,Transit Connect,2012,Blue,Aquamarine,125941
1N4AL2APXAN093557,Chrysler,Town & Country,1996,Red,Maroon,115104
3VWKX7AJ0BM495110,Nissan,Altima,2010,Orange,Green,13784
4T1BK1EBXFU642905,Mercedes-Benz,C-Class,2009,Pink,Mauv,284627
5J6TF1H51DL031757,Land Rover,Range Rover,2002,Pink,Yellow,194011
3LNDL2L39CR790005,Audi,A6,2002,Aquamarine,Puce,195608
WA1WMBFE1AD160468,Jeep,Grand Cherokee,1993,Khaki,Purple,49858
WUAUUAFG1CN983751,BMW,7 Series,2006,Pink,Pink,101500
WBA3B3C56EF587869,Lotus,Esprit,2001,Goldenrod,Aquamarine,64525
1C4RDJEG5EC164731,Mazda,Protege,1994,Green,Goldenrod,154905
SAJWA0JH6EM204153,Audi,4000CS Quattro,1987,Violet,Indigo,174516
WBALW3C58FC119746,Hummer,H1,2003,Fuscia,Khaki,212583
JN1CV6EK7CM984016,Ford,Ranger,2001,Puce,Teal,134880
WAUAH94F47N318441,Dodge,Ram Van 1500,1995,Blue,Mauv,278583
2HNYD18666H381339,Ford,Crown Victoria,2004,Turquoise,Pink,315879
1G6KD57YX8U483946,Mazda,RX-7,1984,Purple,Pink,164793
4A31K5DFXCE755249,Ford,Bronco,1986,Violet,Pink,205182
19UUA65565A866553,Acura,TL,2012,Crimson,Yellow,114748
3VWKX8AJ8BM774262,Land Rover,Defender,1993,Crimson,Indigo,51540
1G4GC5GC7BF146541,Chevrolet,Avalanche 2500,2004,Maroon,Puce,19881
WAUAF78E67A210339,Mercury,Topaz,1984,Crimson,Orange,320375
WDDHF5GB0AA161231,Hyundai,Elantra,2009,Violet,Orange,157316
JN1AJ0HP2CM653268,Dodge,Avenger,2000,Fuscia,Goldenrod,9150
2G61T5S36D9377527,Pontiac,Sunfire,2002,Turquoise,Fuscia,12049
SCFBB03C09G847759,Lincoln,MKX,2009,Pink,Purple,246134
1N6AF0KX2FN610035,Pontiac,G6,2006,Red,Red,247046
1D7RB1CT1AS577192,Lamborghini,Gallardo,2010,Blue,Fuscia,34873
2T1BU4EE6DC808230,Jaguar,XJ Series,1998,Aquamarine,Teal,309300
WBAFZ9C58DC819013,Toyota,TundraMax,2008,Aquamarine,Indigo,214950
5N1AZ2MH1FN944323,Ford,Econoline E150,1999,Violet,Turquoise,102642
1YVHZ8BHXA5670969,Hyundai,Tucson,2008,Red,Mauv,190312
WA1CFAFP2FA355075,Chevrolet,Venture,2004,Aquamarine,Khaki,144801
SCBFH7ZA1FC381469,Volvo,240,1992,Turquoise,Teal,181973
WAUMFBFL5DN457891,Toyota,Venza,2010,Mauv,Goldenrod,56104
1G6AW5SX4E0082402,Honda,Civic,2005,Indigo,Indigo,157808
WAUBFAFL9AA275955,Lexus,RX,1999,Green,Orange,186760
1G4HE57Y36U408938,Ford,Festiva,1991,Turquoise,Maroon,242591
1GD01ZEG7BF984010,Ford,Taurus,1997,Teal,Orange,258660
2C3CCAJT1CH185313,Subaru,Tribeca,2010,Violet,Red,319170
2G4G05GV1B9853122,Dodge,D150 Club,1992,Red,Turquoise,161026
1G6AH5SX2D0166842,Saab,9-3,2002,Khaki,Aquamarine,49966
KNADH4A37A6519763,Pontiac,Aztek,2004,Pink,Red,225623
3C63DRLL1CG264685,Ford,Windstar,1996,Turquoise,Aquamarine,226165
3C63D2EL7CG201580,Toyota,Avalon,2003,Pink,Green,12874
WAUFFAFL6FA621341,Volvo,C70,2001,Yellow,Blue,15481
YV140MEA6F1086969,Buick,Park Avenue,1991,Aquamarine,Aquamarine,21315
3D4PH7FG0BT603527,GMC,Envoy XUV,2004,Crimson,Mauv,78009
5NPET4AC8AH953749,Volkswagen,Eurovan,1994,Violet,Indigo,273363
WBA3B3G50EN278690,GMC,Sierra 1500,2011,Maroon,Green,317902
1G6YX36D085113989,Volvo,V70,2004,Green,Orange,128812
2FMGK5C80FB193189,Volvo,C30,2011,Red,Yellow,279008
WAUAF48H19K917239,Chevrolet,Corvette,2001,Blue,Violet,76321
W04GV5EV5B1109174,Toyota,Camry,1996,Violet,Purple,190434
WBADW7C54DE705549,Lotus,Elan,1994,Aquamarine,Khaki,320021
3D73M3HL2AG579836,Lincoln,MKZ,2012,Goldenrod,Fuscia,214813
SALVN2BG8FH105160,Ford,Escort,1987,Blue,Goldenrod,5265
WAUEFBFL7CN342499,Porsche,911,2010,Violet,Crimson,211946
3C6JD6EP9CG986315,Chevrolet,Camaro,1979,Khaki,Indigo,254069
SALVP2BGXEH989224,GMC,Vandura 3500,1992,Purple,Mauv,201776
